year,source_period,geography,african_group,population,margin_of_error,unit,measure_scope,total_status,publication,table,source_file,official_source_url,notes,crosswalk_id
1970,1970,Bergen County,Africa,659,,persons,foreign_born_population,reported_summary_tape_total,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),CEN70.CT4CP.NJ.TXT,https://catalog.archives.gov/id/594239,"Direct NT22 Africa field summed across Urban Total (659), Rural Nonfarm Total (0), and Rural Farm Total (0). This is a 15% sample tabulation; NT22 reconciles exactly to 95,393 foreign-born persons. The Africa value is not printed separately in New Jersey Table 119.",BC-1970-037
1980,1980,Bergen County,Africa,1588,,persons,foreign_born_population,derived_complete_total,Derived from 1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,1980a_njc-09table172.pdf,https://www2.census.gov/library/publications/decennial/1980/volume-1/new-jersey/1980a_njc-09.pdf,"Derived exactly from the two exhaustive Africa categories in the master provenance: North Africa 956 + Other Africa 632 = 1,588.",BC-1980-AFRICA-CONTINENT
1990,1990,Bergen County,Africa,2444,,persons,foreign_born_population,published_total,"1990 Census of Population: Social and Economic Characteristics, New Jersey",Table 139: Place of Birth of Foreign-Born Persons: 1990,cp-2-32-1table139.pdf,,Published Africa total.,BC-1990-172
2000,2000,Bergen County,Africa,4874,,persons,foreign_born_population,published_total,Census 2000 Summary File 3 (SF 3),PCT19: Place of Birth for the Foreign-Born Population,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; published Africa total.,BC-2000-078
2010,2006-2010,Bergen County,Africa,6125,799,persons,foreign_born_population,published_estimate,2006-2010 ACS 5-Year Detailed Tables,B05006: Place of Birth for the Foreign-Born Population in the United States,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,ACS 5-year period estimate; margin of error is Census-published.,BC-2010-091
2020,2016-2020,Bergen County,Africa,8145,1026,persons,foreign_born_population,published_estimate,2016-2020 ACS 5-Year Estimates,B05006: Place of Birth for the Foreign-Born Population in the United States,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,ACS 5-year period estimate; margin of error is Census-published.,BC-2020-091
