year,geography,state,table_number,table_title,section,parent_label,source_label,value,source_symbol,unit,universe,publication,page,source_file,source_column,notes
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Foreign-born persons,Europe,57008,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Europe,Entered 1980 to 1990,9150,,persons,Europe foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Foreign-born persons,Soviet Union,3034,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Soviet Union,Entered 1980 to 1990,1136,,persons,Soviet Union foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Foreign-born persons,Asia,49337,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Asia,Entered 1980 to 1990,29952,,persons,Asia foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Foreign-born persons,North America,17468,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,North America,Entered 1980 to 1990,6606,,persons,North America foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,North America,Canada,2134,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Canada,Entered 1980 to 1990,524,,persons,Canada foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Foreign-born persons,South America,14032,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,South America,Entered 1980 to 1990,6455,,persons,South America foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Foreign-born persons,Africa,2444,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
