year,geography,state,source_family,table_id,table_title,variable_id,variable_path,source_label,value,unit,value_type,universe,publication_or_dataset,printed_page,official_source_url,notes
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019006,Total!!Europe!!Northern Europe!!Sweden,Sweden,380,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019007,Total!!Europe!!Northern Europe!!Other Northern Europe,Other Northern Europe,463,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019008,Total!!Europe!!Western Europe,Western Europe,8924,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019009,Total!!Europe!!Western Europe!!Austria,Austria,701,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019010,Total!!Europe!!Western Europe!!France,France,1157,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019011,Total!!Europe!!Western Europe!!Germany,Germany,5753,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019012,Total!!Europe!!Western Europe!!Netherlands,Netherlands,497,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019013,Total!!Europe!!Western Europe!!Other Western Europe,Other Western Europe,816,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019014,Total!!Europe!!Southern Europe,Southern Europe,18054,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019015,Total!!Europe!!Southern Europe!!Greece,Greece,3423,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
