year,geography,state,source_family,table_id,table_title,variable_id,variable_path,source_label,value,unit,value_type,universe,publication_or_dataset,printed_page,official_source_url,notes
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019068,Total!!Africa!!Eastern Africa,Eastern Africa,564,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019069,Total!!Africa!!Eastern Africa!!Ethiopia,Ethiopia,37,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019070,Total!!Africa!!Eastern Africa!!Other Eastern Africa,Other Eastern Africa,527,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019071,Total!!Africa!!Middle Africa,Middle Africa,49,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019072,Total!!Africa!!Northern Africa,Northern Africa,2549,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019073,Total!!Africa!!Northern Africa!!Egypt,Egypt,2151,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019074,Total!!Africa!!Northern Africa!!Other Northern Africa,Other Northern Africa,398,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019075,Total!!Africa!!Southern Africa,Southern Africa,364,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019076,Total!!Africa!!Southern Africa!!South Africa,South Africa,364,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019077,Total!!Africa!!Southern Africa!!Other Southern Africa,Other Southern Africa,0,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019078,Total!!Africa!!Western Africa,Western Africa,1150,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019079,Total!!Africa!!Western Africa!!Ghana,Ghana,531,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019080,Total!!Africa!!Western Africa!!Nigeria,Nigeria,415,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019081,Total!!Africa!!Western Africa!!Sierra Leone,Sierra Leone,74,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019082,Total!!Africa!!Western Africa!!Other Western Africa,Other Western Africa,130,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019083,"Total!!Africa!!Africa, n.e.c.","Africa, n.e.c.",198,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019084,Total!!Oceania,Oceania,319,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019085,Total!!Oceania!!Australia and New Zealand Subregion,Australia and New Zealand Subregion,311,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019086,Total!!Oceania!!Australia and New Zealand Subregion!!Australia,Australia,193,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019087,Total!!Oceania!!Australia and New Zealand Subregion!!Other Australian and New Zealand Subregion,Other Australian and New Zealand Subregion,118,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019088,Total!!Oceania!!Melanesia,Melanesia,0,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019089,Total!!Oceania!!Micronesia,Micronesia,8,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019090,Total!!Oceania!!Polynesia,Polynesia,0,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019091,"Total!!Oceania!!Oceania, n.e.c.","Oceania, n.e.c.",0,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019092,Total!!Americas,Americas,61254,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019093,Total!!Americas!!Latin America,Latin America,58904,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019094,Total!!Americas!!Latin America!!Caribbean,Caribbean,19890,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019095,Total!!Americas!!Latin America!!Caribbean!!Barbados,Barbados,188,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019096,Total!!Americas!!Latin America!!Caribbean!!Cuba,Cuba,5183,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019097,Total!!Americas!!Latin America!!Caribbean!!Dominican Republic,Dominican Republic,6669,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019098,Total!!Americas!!Latin America!!Caribbean!!Haiti,Haiti,669,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019099,Total!!Americas!!Latin America!!Caribbean!!Jamaica,Jamaica,4420,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019100,Total!!Americas!!Latin America!!Caribbean!!Trinidad and Tobago,Trinidad and Tobago,1675,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019101,Total!!Americas!!Latin America!!Caribbean!!Other Caribbean,Other Caribbean,1086,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019102,Total!!Americas!!Latin America!!Central America,Central America,10445,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019103,Total!!Americas!!Latin America!!Central America!!Mexico,Mexico,3038,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019104,Total!!Americas!!Latin America!!Central America!!Other Central America,Other Central America,7407,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019105,Total!!Americas!!Latin America!!Central America!!Other Central America!!Costa Rica,Costa Rica,828,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019106,Total!!Americas!!Latin America!!Central America!!Other Central America!!El Salvador,El Salvador,2959,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019107,Total!!Americas!!Latin America!!Central America!!Other Central America!!Guatemala,Guatemala,2497,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019108,Total!!Americas!!Latin America!!Central America!!Other Central America!!Honduras,Honduras,576,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019109,Total!!Americas!!Latin America!!Central America!!Other Central America!!Nicaragua,Nicaragua,238,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019110,Total!!Americas!!Latin America!!Central America!!Other Central America!!Panama,Panama,216,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019111,Total!!Americas!!Latin America!!Central America!!Other Central America!!Other Central America,Other Central America,93,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019112,Total!!Americas!!Latin America!!South America,South America,28569,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019113,Total!!Americas!!Latin America!!South America!!Argentina,Argentina,1340,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019114,Total!!Americas!!Latin America!!South America!!Bolivia,Bolivia,477,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019115,Total!!Americas!!Latin America!!South America!!Brazil,Brazil,1848,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019116,Total!!Americas!!Latin America!!South America!!Chile,Chile,747,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019117,Total!!Americas!!Latin America!!South America!!Colombia,Colombia,11973,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019118,Total!!Americas!!Latin America!!South America!!Ecuador,Ecuador,5926,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019119,Total!!Americas!!Latin America!!South America!!Guyana,Guyana,1219,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019120,Total!!Americas!!Latin America!!South America!!Peru,Peru,3905,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019121,Total!!Americas!!Latin America!!South America!!Venezuela,Venezuela,545,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019122,Total!!Americas!!Latin America!!South America!!Other South America,Other South America,589,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019123,Total!!Americas!!Northern America,Northern America,2350,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019124,Total!!Americas!!Northern America!!Canada,Canada,2264,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019125,Total!!Americas!!Northern America!!Other Northern America,Other Northern America,86,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019126,Total!!Born at sea,Born at sea,0,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020001,Total,Total,222301,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020002,Total!!Europe,Europe,67837,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020003,Total!!Europe!!Year of entry 1990 to March 2000,Year of entry 1990 to March 2000,18690,persons,derived_exact,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data. Period total reconstructed exactly as naturalized citizen + not a citizen; the total is also an official PCT20 table variable.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020004,Total!!Europe!!Year of entry 1990 to March 2000!!Naturalized citizen,Naturalized citizen,3803,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020005,Total!!Europe!!Year of entry 1990 to March 2000!!Not a citizen,Not a citizen,14887,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020006,Total!!Europe!!Year of entry 1980 to 1989,Year of entry 1980 to 1989,10342,persons,derived_exact,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data. Period total reconstructed exactly as naturalized citizen + not a citizen; the total is also an official PCT20 table variable.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020007,Total!!Europe!!Year of entry 1980 to 1989!!Naturalized citizen,Naturalized citizen,5867,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020008,Total!!Europe!!Year of entry 1980 to 1989!!Not a citizen,Not a citizen,4475,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020009,Total!!Europe!!Year of entry before 1980,Year of entry before 1980,38805,persons,derived_exact,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data. Period total reconstructed exactly as naturalized citizen + not a citizen; the total is also an official PCT20 table variable.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020010,Total!!Europe!!Year of entry before 1980!!Naturalized citizen,Naturalized citizen,33261,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020011,Total!!Europe!!Year of entry before 1980!!Not a citizen,Not a citizen,5544,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020012,Total!!Asia,Asia,88017,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020013,Total!!Asia!!Year of entry 1990 to March 2000,Year of entry 1990 to March 2000,39811,persons,derived_exact,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data. Period total reconstructed exactly as naturalized citizen + not a citizen; the total is also an official PCT20 table variable.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020014,Total!!Asia!!Year of entry 1990 to March 2000!!Naturalized citizen,Naturalized citizen,5048,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020015,Total!!Asia!!Year of entry 1990 to March 2000!!Not a citizen,Not a citizen,34763,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020016,Total!!Asia!!Year of entry 1980 to 1989,Year of entry 1980 to 1989,28499,persons,derived_exact,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data. Period total reconstructed exactly as naturalized citizen + not a citizen; the total is also an official PCT20 table variable.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020017,Total!!Asia!!Year of entry 1980 to 1989!!Naturalized citizen,Naturalized citizen,16478,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020018,Total!!Asia!!Year of entry 1980 to 1989!!Not a citizen,Not a citizen,12021,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020019,Total!!Asia!!Year of entry before 1980,Year of entry before 1980,19707,persons,derived_exact,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data. Period total reconstructed exactly as naturalized citizen + not a citizen; the total is also an official PCT20 table variable.
2000,Bergen County,New Jersey,SF3,PCT20,Place of Birth by Year of Entry by Citizenship Status for the Foreign-Born Population,PCT020020,Total!!Asia!!Year of entry before 1980!!Naturalized citizen,Naturalized citizen,16742,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT020.html,SF3 sample data.
