year,geography,state,section,source_label,value,unit,universe,publication,table,page,source_file,source_column,notes
1980,Bergen County,New Jersey,Country of birth,Philippines,2525,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,Vietnam,349,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,North and Central America,10632,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,Canada,2573,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,Mexico,245,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,West Indies,6764,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,Cuba,3304,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,Subcategory of West Indies
1980,Bergen County,New Jersey,Country of birth,Dominican Republic,799,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,Subcategory of West Indies
1980,Bergen County,New Jersey,Country of birth,Jamaica,1435,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,Subcategory of West Indies
1980,Bergen County,New Jersey,Country of birth,South America,8544,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,North Africa,956,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,Other Africa,632,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,All other countries,291,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Country of birth,Country not reported,3065,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Year of immigration,Foreign born persons,114285,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
