year,source_period,geography,asian_group,population,margin_of_error,unit,measure_scope,total_status,publication,table,source_file,official_source_url,notes,crosswalk_id
1970,1970,Bergen County,Asia,5020,,persons,foreign_born_population,derived_complete_total,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),CEN70.CT4CP.NJ.TXT,https://catalog.archives.gov/id/594239,"Derived complete Asia total: Southwest Asia 2,540 + China 637 + Japan 571 + Other Asia 1,272 = 5,020. Fourth Count 15% sample; historical Asian categories differ from later classifications.",BC-1970-031
1980,1980,Bergen County,Asia,20688,,persons,foreign_born_population,published_total,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,1980a_njc-09table172.pdf,,Published Asia total.,BC-1980-032
1990,1990,Bergen County,Asia,49337,,persons,foreign_born_population,published_total,"1990 Census of Population: Social and Economic Characteristics, New Jersey",Table 139: Place of Birth of Foreign-Born Persons: 1990,cp-2-32-1table139.pdf,,Published Asia total.,BC-1990-116
2000,2000,Bergen County,Asia,88017,,persons,foreign_born_population,published_total,Census 2000 Summary File 3 (SF 3),PCT19: Place of Birth for the Foreign-Born Population,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data.,BC-2000-043
2010,2006-2010,Bergen County,Asia,110531,1858,persons,foreign_born_population,published_estimate,2006-2010 ACS 5-Year Detailed Tables,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,ACS 5-year period estimate; margin of error is Census-published.,BC-2010-047
2020,2016-2020,Bergen County,Asia,122110,1983,persons,foreign_born_population,published_estimate,2016-2020 ACS 5-Year Estimates,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,ACS 5-year period estimate; margin of error is Census-published.,BC-2020-047
