year,source_period,geography,european_group,population,margin_of_error,unit,measure_scope,total_status,publication,table,source_file,official_source_url,notes,crosswalk_id
1970,1970,Bergen County,Europe,75188,,persons,foreign_born_population,derived_complete_total,1970 Census of Population: Fourth Count Population Summary Tape,Tabulation 22: Country of Origin and Nativity (15%),CEN70.CT4CP.NJ.TXT,https://catalog.archives.gov/id/594239,"1970 Fourth Count 15% sample tabulation. Derived by summing all 22 European-origin categories in the foreign-born half of NT22 across Urban Total (record 01), Rural Nonfarm Total (05), and Rural Farm Total (09). The result is 75,188 and NT22 reconciles exactly to 95,393 foreign-born persons and 352,196 foreign-stock persons.",BC-1970-036
1980,1980,Bergen County,Europe,66732,,persons,foreign_born_population,published_total,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,1980a_njc-09table172.pdf,,Published Europe total.,BC-1980-041
1990,1990,Bergen County,Europe,60042,,persons,foreign_born_population,derived_complete_total,"Derived from 1990 Census of Population: Social and Economic Characteristics, New Jersey",Table 139: Place of Birth of Foreign-Born Persons: 1990,cp-2-32-1table139.pdf,https://www2.census.gov/library/publications/decennial/1990/cp-2/cp-2-32-1.pdf,Derived as the published Europe subtotal of 57008 plus the separately published Soviet Union category of 3034; this matches the project's later Census European classification.,BC-1990-EUROPE-CONTINENT
2000,2000,Bergen County,Europe,67837,,persons,foreign_born_population,published_total,Census 2000 Summary File 3 (SF 3),PCT19: Place of Birth for the Foreign-Born Population,bergen_county_2000_immigration_tables.csv,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data.,BC-2000-013
2010,2006-2010,Bergen County,Europe,59395,1937,persons,foreign_born_population,published_estimate,2006-2010 ACS 5-Year Detailed Tables,B05006: Place of Birth for the Foreign-Born Population in the United States,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,ACS 5-year period estimate; margin of error is Census-published.,BC-2010-002
2020,2016-2020,Bergen County,Europe,57406,2511,persons,foreign_born_population,published_estimate,2016-2020 ACS 5-Year Estimates,B05006: Place of Birth for the Foreign-Born Population in the United States,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,ACS 5-year period estimate; margin of error is Census-published.,BC-2020-005
