year,source_period,geography,european_group,group_type,european_subregion,hierarchy_level,population,margin_of_error,unit,measure_scope,historical_comparability,standard_variable,parent_label,source_label,table_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
1980,1980,Bergen County,Netherlands,country_or_area,,1,1287,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_netherlands,,Netherlands,,Table 172: Nativity and Language for Counties: 1980,BC-1980-054,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,Northern Ireland,country_component,,2,400,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_northern_ireland,Europe > United Kingdom,Northern Ireland,,Table 172: Nativity and Language for Counties: 1980,BC-1980-057,1980 Census of Population,,1980a_njc-09table172.pdf,,Subcategory of United Kingdom
1980,1980,Bergen County,Other Europe (not separately reported),residual_category,,1,2199,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_other_not_separately_reported,Europe,Other Europe (not separately reported),,Table 172: Nativity and Language for Counties: 1980,BC-1980-117,Derived from 1980 Census of Population,https://www2.census.gov/library/publications/decennial/1980/volume-1/new-jersey/1980a_njc-09.pdf,1980a_njc-09table172.pdf,verified_derived_reconciliation,"Exact derived residual: 66,732 Europe total minus 64,533 across the 15 non-overlapping published European country/area totals. The source does not identify the countries contained in this remainder."
1980,1980,Bergen County,Poland,country_or_area,,1,7029,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_poland,,Poland,,Table 172: Nativity and Language for Counties: 1980,BC-1980-060,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,Portugal,country_or_area,,1,959,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_portugal,,Portugal,,Table 172: Nativity and Language for Counties: 1980,BC-1980-061,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,Scotland,country_component,,2,1956,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_scotland,Europe > United Kingdom,Scotland,,Table 172: Nativity and Language for Counties: 1980,BC-1980-062,1980 Census of Population,,1980a_njc-09table172.pdf,,Subcategory of United Kingdom
1980,1980,Bergen County,Sweden,country_or_area,,1,423,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_sweden,,Sweden,,Table 172: Nativity and Language for Counties: 1980,BC-1980-064,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,U.S.S.R.,legacy_multi_country_area,,1,2745,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_ussr,,U.S.S.R.,,Table 172: Nativity and Language for Counties: 1980,BC-1980-065,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,United Kingdom,country_or_area,,1,6309,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_united_kingdom,,United Kingdom,,Table 172: Nativity and Language for Counties: 1980,BC-1980-066,1980 Census of Population,,1980a_njc-09table172.pdf,,
1980,1980,Bergen County,"United Kingdom, not further specified",residual_category,,2,543,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_united_kingdom_not_further_specified,Europe > United Kingdom,"United Kingdom, not further specified",,Table 172: Nativity and Language for Counties: 1980,BC-1980-118,Derived from 1980 Census of Population,https://www2.census.gov/library/publications/decennial/1980/volume-1/new-jersey/1980a_njc-09.pdf,1980a_njc-09table172.pdf,verified_derived_reconciliation,"Exact derived residual: 6,309 United Kingdom total minus 5,766 across the four published United Kingdom components, yielding 543."
1980,1980,Bergen County,Wales,country_component,,2,76,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_wales,Europe > United Kingdom,Wales,,Table 172: Nativity and Language for Counties: 1980,BC-1980-068,1980 Census of Population,,1980a_njc-09table172.pdf,verified_against_printed_source,Subcategory of United Kingdom. Corrected from 70 to 76 after direct visual verification against the printed 1980 Census Table 172.
1980,1980,Bergen County,Yugoslavia,legacy_multi_country_area,,1,2818,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_yugoslavia,,Yugoslavia,,Table 172: Nativity and Language for Counties: 1980,BC-1980-070,1980 Census of Population,,1980a_njc-09table172.pdf,,
1990,1990,Bergen County,Austria,country_or_area,,1,993,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_austria,Europe,Austria,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-091,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Belgium,country_or_area,,1,364,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_belgium,Europe,Belgium,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-092,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Czechoslovakia,legacy_multi_country_area,,1,1203,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_czechoslovakia,Europe,Czechoslovakia,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-093,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Denmark,country_or_area,,1,225,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_denmark,Europe,Denmark,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-094,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Estonia,country_or_area,,1,198,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_estonia,Europe,Estonia,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-095,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Finland,country_or_area,,1,182,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_finland,Europe,Finland,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-096,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,France,country_or_area,,1,1483,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_france,Europe,France,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-097,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Germany,country_or_area,,1,8156,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_germany,Europe,Germany,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-098,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Greece,country_or_area,,1,3821,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_greece,Europe,Greece,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-099,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Hungary,country_or_area,,1,1369,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_hungary,Europe,Hungary,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-100,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Ireland,country_or_area,,1,3768,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_ireland,Europe,Ireland,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-101,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Italy,country_or_area,,1,14064,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_italy,Europe,Italy,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-102,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Latvia,country_or_area,,1,282,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_latvia,Europe,Latvia,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-103,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
