year,source_period,geography,total_population,total_population_margin_of_error,foreign_born_population,foreign_born_margin_of_error,foreign_born_share_percent,share_formula,unit,data_type,total_population_crosswalk_id,foreign_born_crosswalk_id,total_population_table,foreign_born_table,total_population_source_file,foreign_born_source_file,total_population_official_source_url,foreign_born_official_source_url,comparability_note,notes
1970,1970,Bergen County,898012,,95393,,10.6227,foreign_born_population / total_population * 100,persons,decennial_census_with_sample_based_foreign_born,BC-1970-028,BC-1970-008,Table 119: Social Characteristics for Counties: 1970,Table 119: Social Characteristics for Counties: 1970,1970a_nj1-08table119.pdf,1970a_nj1-08table119.pdf,,,direct_same_period_comparison,The foreign-born share is calculated from the two published 1970 counts.
1980,1980,Bergen County,845385,,114285,,13.5187,foreign_born_population / total_population * 100,persons,decennial_census_with_sample_based_foreign_born,BC-1980-109,BC-1980-105,Table 172: Nativity and Language for Counties: 1980,Table 172: Nativity and Language for Counties: 1980,1980a_njc-09table172.pdf,1980a_njc-09table172.pdf,https://www2.census.gov/library/publications/decennial/1980/volume-1/new-jersey/1980a_njc-09.pdf,https://www2.census.gov/library/publications/decennial/1980/volume-1/new-jersey/1980a_njc-09.pdf,direct_same_period_comparison,Table 172 identifies the values as estimates based on a sample.
1990,1990,Bergen County,825380,,148861,,18.0355,foreign_born_population / total_population * 100,persons,decennial_census_with_sample_based_foreign_born,BC-1990-001,BC-1990-003,Table 138: Nativity Citizenship Year of Entry Area of Birth and Language Spoken at Home: 1990,Table 138: Nativity Citizenship Year of Entry Area of Birth and Language Spoken at Home: 1990,cp-2-32-1table138.pdf,cp-2-32-1table138.pdf,https://www2.census.gov/library/publications/decennial/1990/cp-2/cp-2-32-1.pdf,https://www2.census.gov/library/publications/decennial/1990/cp-2/cp-2-32-1.pdf,direct_same_period_comparison,The total and foreign-born counts come from the same county table.
2000,2000,Bergen County,884118,,222301,,25.1438,foreign_born_population / total_population * 100,persons,decennial_census_with_sample_based_foreign_born,BC-2000-001,BC-2000-003,Table 1: Place of Birth Residence in 1995 and Language: 2000,Table 1: Place of Birth Residence in 1995 and Language: 2000,bergen_county_2000_immigration_tables.csv,bergen_county_2000_immigration_tables.csv,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,https://www2.census.gov/library/publications/2003/dec/phc-2-32.pdf,direct_same_period_comparison,The published foreign-born percentage rounds this calculated share to 25.1 percent.
2010,2006-2010,Bergen County,896482,,254459,3079,28.3842,foreign_born_population / total_population * 100,persons,acs_5_year_estimate,,BC-2010-001,B05001: CITIZENSHIP STATUS IN THE UNITED STATES,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,,bergen_county_2010_acs_B05006_B05007.csv,https://api.census.gov/data/2010/acs/acs5?get=NAME%2CB05001_001E%2CB05001_001M&for=county%3A003&in=state%3A34,https://api.census.gov/data/2010/acs/acs5/groups/B05006.html,direct_same_acs_period_comparison,The total population is the 2006-2010 ACS five-year estimate; it is not the April 1 2010 decennial census count of 905116. The foreign-born margin of error is Census-published.
2020,2016-2020,Bergen County,931275,,286648,3614,30.7802,foreign_born_population / total_population * 100,persons,acs_5_year_estimate,BC-2020-192,BC-2020-001,B05012: NATIVITY IN THE UNITED STATES,B05012: NATIVITY IN THE UNITED STATES,bergen_county_2020_acs_immigration_cleaned.csv,bergen_county_2020_acs_immigration_cleaned.csv,https://api.census.gov/data/2020/acs/acs5/groups/B05012.html,https://api.census.gov/data/2020/acs/acs5/groups/B05012.html,direct_same_acs_period_comparison,The total and foreign-born populations are 2016-2020 ACS five-year estimates; the total population has no published numeric margin of error and the foreign-born margin of error is 3614.
